year,team,head_coach,offensive_coordinator,offensive_playcaller,prev_hc_team,prev_oc_team,hc_playcaller,oc_playcaller,hired,oc_hired
2018,WAS,Jay Gruden,Matt Cavanaugh,Jay Gruden,CIN,WAS,true,false,2014,2017
2019,ARI,Kliff Kingsbury,NONE,Kliff Kingsbury,USC,,true,false,2019,
2019,ATL,Dan Quinn,Dirk Koetter,Dirk Koetter,SEA,TB,false,true,2015,2019
2019,BAL,John Harbaugh,Greg Roman,Greg Roman,PHI,BAL,false,true,2008,2019
2019,BUF,Sean McDermott,Brian Daboll,Brian Daboll,CAR,Alabama,false,true,2017,2018
2019,CAR,Ron Rivera,Norv Turner,Norv Turner,LAC,MIN,false,true,2011,2018
2019,CHI,Matt Nagy,Mark Helfrich,Matt Nagy,KC,Oregon,true,false,2018,2018
2019,CIN,Zac Taylor,Brian Callahan,Zac Taylor,LAR,LV,true,false,2019,2019
2019,CLE,Freddie Kitchens,Todd Monken,Freddie Kitchens,CLE,TB,true,false,2019,2019
2019,DAL,Jason Garrett,Kellen Moore,Kellen Moore,DAL,DAL,false,true,2010,2019
2019,DEN,Vic Fangio,Rich Scangarello,Rich Scangarello,CHI,SF,false,true,2019,2019
2019,DET,Matt Patricia,Darrell Bevell,Darrell Bevell,NE,SEA,false,true,2018,2019
2019,GB,Matt LaFleur,Nathaniel Hackett,Matt LaFleur,TEN,JAX,true,false,2019,2019
2019,HOU,Bill O'Brien,Tim Kelly,Bill O'Brien,Penn State,HOU,true,false,2014,2019
2019,IND,Frank Reich,Nick Sirianni,Frank Reich,PHI,LAC,true,false,2018,2018
2019,JAX,Doug Marrone,John DeFilippo,John DeFilippo,JAX,MIN,false,true,2017,2019
2019,KC,Andy Reid,Eric Bieniemy,Andy Reid,PHI,KC,true,false,2013,2018
2019,LAC,Anthony Lynn,Ken Whisenhunt,Ken Whisenhunt,BUF,TEN,false,true,2017,2016
2019,LAR,Sean McVay,NONE,Sean McVay,WAS,,true,false,2017,
2019,LV,Jon Gruden,Greg Olson,Jon Gruden,TB,LAR,true,false,2018,2018
